Redmond,US,47.67399,-122.12151,547
San Diego,US,32.71533,-117.15726,288
Anchorage,US,61.21806,-149.90028,264
Bellevue,US,47.61038,-122.20068,144
Paradise,US,36.09719,-115.14666,142
Boston,US,42.35843,-71.05977,120
Issaquah,US,47.5301,-122.03262,112
Cambridge,US,42.3751,-71.10561,104
Columbia Heights,US,45.0408,-93.263,80
Washington D.C.,US,38.89511,-77.03637,66
Santa Clara,US,37.35411,-121.95524,58
Universal City,US,34.1389,-118.35341,58
Chicago,US,41.85003,-87.65005,57
Brookline,US,42.33176,-71.12116,52
Kirkland,US,47.68149,-122.20874,49
Inglewood,US,33.96168,-118.35313,46
Huntington Beach,US,33.6603,-117.99923,42
Saint Paul,US,44.94441,-93.09327,42
Graham,US,47.05288,-122.29428,41
Seattle,US,47.60621,-122.33207,31
El Segundo,US,33.91918,-118.41647,30
Marysville,US,48.05176,-122.17708,28
Mercer Island,US,47.57065,-122.22207,27
Flagstaff,US,35.19807,-111.65127,27
West Lake Sammamish,US,47.5776,-122.10123,26
Minneapolis,US,44.97997,-93.26384,24
Hollywood,US,34.09834,-118.32674,24
Bonney Lake,US,47.17705,-122.18651,23
Bothell,US,47.76232,-122.2054,22
Beverly Hills,US,34.07362,-118.40036,20
West Hollywood,US,34.09001,-118.36174,18
Martha Lake,US,47.85093,-122.2393,17
Juneau,US,58.30194,-134.41972,17
Cottage Lake,US,47.74427,-122.07735,16
Eagle River,US,61.32139,-149.56778,16
Newport Beach,US,33.61891,-117.92895,16
Everett,US,47.97898,-122.20208,15
Winchester,US,36.12997,-115.11889,14
Oceanside,US,33.19587,-117.37948,14
SeaTac,US,47.44846,-122.29217,13
Kenmore,US,47.75732,-122.24401,11
Renton,US,47.48288,-122.21707,11
Coronado,US,32.68589,-117.18309,10
Anaheim,US,33.83529,-117.9145,10
San Clemente,US,33.42697,-117.61199,10
Tukwila,US,47.47399,-122.26096,10
Sammamish,US,47.64177,-122.0804,10
San Jose,US,37.33939,-121.89496,10
Winthrop,US,42.3751,-70.98283,9
Encinitas,US,33.03699,-117.29198,8
Culver City,US,34.02112,-118.39647,8
La Jolla,US,32.84727,-117.2742,8
Seal Beach,US,33.74141,-118.10479,8
Alexandria,US,38.80484,-77.04692,7
Inglewood-Finn Hill,US,47.72049,-122.23167,7
Los Angeles,US,34.05223,-118.24368,6
Buena Park,US,33.86751,-117.99812,6
Norwalk,US,33.90224,-118.08173,6
City of Sammamish,US,47.60444,-122.03768,6
Lennox,US,33.93807,-118.35258,6
Puyallup,US,47.18538,-122.2929,5
Maple Valley,US,47.39272,-122.04641,5
Mountain View,US,37.38605,-122.08385,4
Enterprise,US,36.02525,-115.24194,4
Carson,US,33.83141,-118.28202,4
Costa Mesa,US,33.64113,-117.91867,4
Stanton,US,33.80252,-117.99312,4
Richfield,US,44.8833,-93.283,4
Boyle Heights,US,34.0339,-118.20535,4
North Creek,US,47.81954,-122.17624,4
Tustin,US,33.74585,-117.82617,4
Lawndale,US,33.88724,-118.35257,4
Bryn Mawr-Skyway,US,47.4943,-122.24092,4
Long Beach,US,33.76696,-118.18923,4
Imperial Beach,US,32.58394,-117.11308,4
Menlo Park,US,37.45383,-122.18219,4
San Juan Capistrano,US,33.50169,-117.66255,4
Shoreline,US,47.75565,-122.34152,4
Chelsea,US,42.39176,-71.03283,3
Kent,US,47.38093,-122.23484,3
Barnstable,US,41.70011,-70.29947,3
Mill Creek,US,47.8601,-122.2043,3
Eagan,US,44.80413,-93.16689,2
New Brighton,US,45.06552,-93.20189,2
Laguna Woods,US,33.6103,-117.72533,2
Orange,US,33.78779,-117.85311,2
Cupertino,US,37.323,-122.03218,2
East Los Angeles,US,34.0239,-118.17202,2
Pico Rivera,US,33.98307,-118.09673,2
Mission Viejo,US,33.60002,-117.672,2
Oak Hill,US,38.9258,-77.40156,2
Skokie,US,42.03336,-87.73339,2
Palo Alto,US,37.44188,-122.14302,2
Fountain Valley,US,33.70918,-117.95367,2
Belmont,US,37.52021,-122.2758,2
Franklin Park,US,41.93531,-87.86562,2
Bell Gardens,US,33.96529,-118.15146,2
Santa Ana,US,33.74557,-117.86783,2
Chula Vista,US,32.64005,-117.0842,2
National City,US,32.67811,-117.0992,2
Redwood City,US,37.48522,-122.23635,2
Aliso Viejo,US,33.56504,-117.72712,2
Mukilteo,US,47.94454,-122.30458,2
Gardena,US,33.88835,-118.30896,2
Port Angeles,US,48.11815,-123.43074,2
Irvine,US,33.66946,-117.82311,2
Silverdale,US,47.64454,-122.69487,2
South Hill,US,47.14121,-122.27012,2
Cerritos,US,33.85835,-118.06479,2
Park Ridge,US,42.01114,-87.84062,2
Auburn,US,47.30732,-122.22845,2
Burien,US,47.47038,-122.34679,1
Revere,US,42.40843,-71.01199,1
Fairhaven,US,41.6376,-70.90365,1
Morton Grove,US,42.04059,-87.78256,1
Wolf Trap,US,38.93983,-77.28609,1
Tysons Corner,US,38.91872,-77.23109,1
Braintree,US,42.22232,-70.99949,1
Needham,US,42.28343,-71.23283,1
East Hill-Meridian,US,47.41052,-122.17369,1
Herndon,US,38.96955,-77.3861,1
Brockton,US,42.08343,-71.01838,1
Jamaica Plain,US,42.30982,-71.12033,1
McLean,US,38.93428,-77.17748,1
Weymouth,US,42.22093,-70.93977,1
Oak Harbor,US,48.29316,-122.64322,1
